,temp_front_left,Time_temp_front_left,temp_front_right,Time_temp_front_right,strain_front_left,Time_strain_front_left,pitot_tube,Time_pitot_tube,strain_front_right,Time_strain_front_right,accel_left_sus,Time_accel_left_sus,accel_left_not_sus,Time_accel_left_not_sus,accel_right_sus,Time_accel_right_sus,accel_right_not_sus,Time_accel_right_not_sus
0,16847,0,16831,0,37136,0,30143,0,33917,0,32783,0,33012,0,32784,0,32779,0
1,16847,0,16831,0,37131,0,30143,0,33915,0,32783,0,33014,0,32784,0,32779,0
2,16847,0,16832,0,37129,0,30142,0,33913,0,32782,0,33014,0,32784,0,32779,0
3,16847,0,16832,0,37133,0,30142,0,33913,0,32782,0,33019,0,32784,0,32779,0
4,16847,0,16831,0,37135,0,30143,0,33914,0,32782,0,33027,0,32784,0,32779,0
5,16847,0,16831,0,37133,0,30143,0,33913,0,32782,0,33032,0,32783,0,32779,0
6,16847,0,16832,0,37132,0,30143,0,33914,0,32783,0,33030,0,32783,0,32779,0
7,16848,0,16832,0,37134,0,30144,0,33916,0,32783,0,33023,0,32783,0,32779,0
8,16848,0,16832,0,37134,0,30144,0,33916,0,32783,0,33014,0,32784,0,32779,0
9,16848,0,16832,0,37131,0,30144,0,33914,0,32783,0,33005,0,32783,0,32779,0
10,16847,0,16832,0,37130,0,30143,0,33912,0,32783,0,33000,0,32783,0,32779,0
11,16847,0,16832,0,37133,0,30143,0,33914,0,32782,0,33001,0,32782,0,32779,0
12,16848,0,16832,0,37134,0,30144,0,33915,0,32782,0,33006,0,32783,0,32779,0
13,16847,0,16832,0,37130,0,30145,0,33914,0,32782,0,33008,0,32783,0,32779,0
14,16847,0,16831,0,37125,0,30145,0,33911,0,32782,0,33004,0,32783,0,32779,0
15,16847,0,16832,0,37127,0,30144,0,33912,0,32782,0,33003,0,32783,0,32779,0
16,16848,0,16832,0,37131,0,30143,0,33914,0,32782,0,33010,0,32783,0,32779,0
17,16848,0,16832,0,37134,0,30143,0,33915,0,32782,0,33018,0,32784,0,32779,0
18,16847,0,16832,0,37137,0,30143,0,33916,0,32782,0,33015,0,32784,0,32779,0
19,16847,0,16831,0,37140,0,30144,0,33917,0,32782,0,33004,0,32784,0,32780,0
